,,,,,,,,,,,,,,,
,출아,4/29,4/30,5/1,5/2,5/3,5/4,5/5,5/6,5/7,5/8,5/9,5/10,5/11,5/12
,방풍,0,0,0,0,0,0,0,1,1,1,1,1,1,1
,백수오,0,0,0,0,0,7,8,23,27,27,27,29,29,29
,상추,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
,발아,4/29,4/30,5/1,5/2,5/3,5/4,5/5,5/6,5/7,5/8,5/9,5/10,5/11,5/12
,(광) 방풍1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,(광) 방풍2,0,0,0,0,0,0,0,0,0,0,0,1,1,1
,(광) 방풍3,0,0,0,0,0,0,0,0,0,1,1,2,2,2
,(광) 백수오1,0,3,4,4,5,5,5,6,6,8,8,9,9,9
,(광) 백수오2,0,1,4,7,8,10,10,10,10,10,10,10,10,10
,(광) 백수오3,0,5,5,10,10,10,10,10,10,10,10,10,10,10
,(광) 상추1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,(광) 상추2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,(광) 상추3,0,0,0,0,0,0,0,0,0,1,1,1,1,1
,(암) 방풍1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,(암) 방풍2,0,0,0,0,0,0,0,1,1,2,2,4,4,4
,(암) 방풍3,0,0,0,0,0,0,0,1,1,1,1,1,1,1
,(암) 백수오1,0,4,9,9,9,9,9,9,9,9,9,9,9,9
,(암) 백수오2,0,6,6,9,9,10,10,10,10,10,10,10,10,10
,(암) 백수오3,0,7,7,10,10,10,10,10,10,10,10,10,10,10
,(암) 상추1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,(암) 상추2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,(암) 상추3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TRUE,방풍 출아율,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.03,0.03,0.03,0.03
TRUE,백수오 출아율,0.00,0.00,0.00,0.00,0.00,0.23,0.27,0.77,0.90,0.90,0.90,0.97,0.97,0.97
TRUE,상추 출아율,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TRUE,방풍(광) 발아율,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.10,0.10,0.10
TRUE,백수오(광) 발아율,0.00,0.30,0.43,0.70,0.77,0.83,0.83,0.87,0.87,0.93,0.93,0.97,0.97,0.97
TRUE,상추(광) 발아율,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.03,0.03
TRUE,방풍(암) 발아율,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.11,0.11,0.19,0.19,0.19
TRUE,백수오(암) 발아율,0.00,0.57,0.73,0.93,0.93,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
TRUE,상추(암) 발아율,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,방풍 출아율,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.03,0.03,0.03,0.03
,백수오 출아율,0.00,0.00,0.00,0.00,0.00,0.23,0.27,0.77,0.90,0.90,0.90,0.97,0.97,0.97
,상추 출아율,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,방풍(광) 발아율,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.10,0.10,0.10
,백수오(광) 발아율,0.00,0.30,0.43,0.70,0.77,0.83,0.83,0.87,0.87,0.93,0.93,0.97,0.97,0.97
,상추(광) 발아율,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.03,0.03
,방풍(암) 발아율,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.11,0.11,0.19,0.19,0.19
,백수오(암) 발아율,0.00,0.57,0.73,0.93,0.93,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
,상추(암) 발아율,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00